discount,baseline_sales_multiplier,causal_sales_multiplier,baseline_revenue_multiplier,causal_revenue_multiplier
20%,1.0,1.0,1.0,1.0
25%,1.004938568881844,1.1168555330328973,0.9421299083267287,1.0470520622183412
30%,1.004938568881844,1.2420004431366962,0.8793212477716134,1.086750387744609
35%,1.0213203962642092,1.376022753577735,0.8298228219646699,1.1180184872819097
40%,1.0105993253909067,1.5195522002092912,0.75794949404318,1.1396641501569684
45%,1.0499672517275815,1.673263190435981,0.7218524855627123,1.150368443424737
50%,1.1007120559427075,1.8378779720781107,0.6879450349641921,1.148673732548819
55%,1.1389493507045092,2.0141700270256617,0.6406590097712864,1.1329706402019348
60%,1.2777636117065836,2.2029677056277905,0.638881805853292,1.1014838528138955
65%,1.2993243418902556,2.4051581188948967,0.568454399576987,1.0522566770165176
70%,0.9946294897495689,2.621691306801701,0.37298605865608836,0.983134240050638
